["(I've Had) The Time of My Life", 'Bill Medley & Jennifer Warnes']
['The Mercy Seat', 'Nick Cave & the Bad Seeds']
['The One I Love', 'R.E.M.']
['The Right Stuff', 'Bryan Ferry']
['The Shining', 'Black Sabbath']
['The Snow Fell', 'Skrewdriver']
['The Spanish Archer', 'Deep Purple']
['The Stolen Child', 'The Waterboys']
['The Tide Is Turning', 'Roger Waters']
["The Truth Is Lyin' Next to You", 'Randy Travis']
['The Way You Make Me Feel', 'Michael Jackson']
['These Times Are Hard for Lovers', 'John Waite']
['They Dance Alone', 'Sting']
['They Suffocate At Night', 'Pulp']
['Think About You', "Guns N' Roses"]
['This Corrosion', 'The Sisters of Mercy']
['Til Death Do Us Part', 'Exodus']
['Time Stand Still', 'Rush']
['Time Will Crawl', 'David Bowie']
['Together Forever', 'Rick Astley']
["Tom's Diner", 'Suzanne Vega']
['Touch Of Grey', 'Grateful Dead']
['Tougher Than The Rest', 'Bruce Springsteen']
['Train Song', 'Tom Waits']
['Trip Through Your Wires', 'U2']
['Troy', "Sin�ad O'Connor"]
['True Faith', 'New Order']
['Tunnel of Love', 'Bruce Springsteen']
['Turn Back The Clock', 'Johnny Hates Jazz']
['Turn The Page', 'Rush']
['Twelve Pains Of Christmas', 'Bob Rivers']
['Twenty Years Ago', 'Kenny Rogers']
['U Got the Look', 'Prince']
['Unhappy Birthday', 'The Smiths']
['Valentine', "T'Pau"]
['Verdi Cries', '10,000 Maniacs']
['Walk Like a Man', 'Bruce Springsteen']
['Walk The Dinosaur', 'Was (Not Was)']
['Watercolour Ponies', 'Wayne Watson']
['Way Down In The Hole', 'Tom Waits']
["We'll Be Together", 'Sting']
['Welcome To The Jungle', "Guns N' Roses"]
['Welcome to the Room... Sara', 'Fleetwood Mac']
['What Have I Done To Deserve This?', 'Pet Shop Boys']
['When Smokey Sings', 'ABC']
['When The Children Cry', 'White Lion']
['When We Was Fab', 'George Harrison']
["When You're Alone", 'Bruce Springsteen']
['Where Do Broken Hearts Go', 'Whitney Houston']
['Where The Streets Have No Name', 'U2']
["Who's That Girl", 'Madonna']
["Why Can't I Be You?", 'The Cure']
['Wild Flower', 'The Cult']
['Wild Side', 'M�tley Cr�e']
['Winner Takes It All', 'Sammy Hagar']
['Wishing Well', "Terence Trent D'Arby"]
['With Or Without You', 'U2']
['Women', 'Def Leppard']
['Wonderful Life', 'Black']
['Would Jesus Wear a Rolex', 'Ray Stevens']
['Yet Another Movie', 'Pink Floyd']
['You Suffer', 'Napalm Death']
['You Win Again', 'Bee Gees']
["You're All I Need", 'M�tley Cr�e']
['Your Love', 'Frankie Knuckles']
